url,title,description,date
https://www.bloomberg.com/news/articles/2025-07-16/trump-assails-allies-demanding-epstein-files-as-stupid-people?srnd=homepage-asia,Trump Attacks Allies Demanding Epstein Files as ‘Stupid People’ - Bloomberg,"President Donald Trump lashed out at fellow Republicans who have been calling for his administration to release documents related to disgraced financier and sex offender Jeffrey Epstein, casting the files as a distraction spun up by Democrats to undermine his agenda.","July 16, 2025 at 1:21 PM EDT"
https://www.bloomberg.com/news/features/2025-07-15/dutch-style-road-intersections-offer-a-safer-way-forward-for-bikes-walkers?srnd=homepage-asia,"Dutch-Style Road Intersections Offer a Safer Way Forward for Bikes, Walkers - Bloomberg","Inspired by road safety innovations widely used in the Netherlands, several US cities are installing street crossings that can better protect pedestrians and bicyclists.","July 15, 2025 at 10:29 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/india-seeks-lower-tariff-than-indonesia-in-race-to-clinch-deal?srnd=homepage-asia,India Seeks Lower Tariff Than Indonesia in Race to Clinch Deal - Bloomberg,Indian officials are hoping to secure a trade deal with US President Donald Trump at a lower tariff rate than he’d agreed with Indonesia as New Delhi races to meet an Aug. 1 deadline.,"July 16, 2025 at 6:51 AM EDT"
https://www.bloomberg.com/news/features/2025-07-11/us-trade-schools-like-texas-s-tstc-see-rising-enrollment?srnd=homepage-asia,"US Trade Schools, Like Texas’s TSTC, See Rising Enrollment - Bloomberg","There are already more than 400,000 open manufacturing industry jobs in the US, and that’s before the domestic factory boom Trump’s been promising.","July 11, 2025 at 6:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/trump-memecoin-unlock-to-test-crypto-demand-boost-president-s-wealth?srnd=homepage-asia,"Trump Memecoin Unlock to Test Crypto Demand, Boost President’s Wealth - Bloomberg",A batch of Trump memecoins set to be unlocked this week will test demand for the cryptocurrency and add almost $100 million to the billionaire president’s net worth.,"July 16, 2025 at 9:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/stock-market-today-dow-s-p-live-updates,"Stock Market Today: Dow, S&P Live Updates for July 16 - Bloomberg","Speculation about the fate of Federal Reserve Chair Jerome Powell set off a short-lived tempest in financial markets Wednesday, with volatility mostly quelled after President Donald Trump said he has no plans to fire the central bank chief and was only discussing it in “concept.”","July 15, 2025 at 6:36 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/musk-spacex-share-sale-to-value-company-at-about-400-billion?srnd=homepage-asia,Elon Musk's SpaceX Share Sale to Value Company at About $400 Billion - Bloomberg,"Elon Musk’s SpaceX is planning an insider share sale that would value the company at about $400 billion, according to people familiar with the matter.","July 15, 2025 at 3:10 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/asia-s-50-best-bars-2025-bar-leone-in-hong-kong-tops-ranking-again?srnd=homepage-asia,Asia's 50 Best Bars 2025: Bar Leone in Hong Kong Is Named No. 1 Again - Bloomberg,"Hong Kong’s Bar Leone, once again, has been crowned Asia’s best bar.","July 15, 2025 at 10:31 AM EDT"
https://www.bloomberg.com/news/newsletters/2025-07-16/the-most-worrying-economic-chart-in-the-world?srnd=homepage-asia,The Most Worrying Economic Chart in the World - Bloomberg,"Hello and welcome to the newsletter, a grab bag of daily content from the Odd Lots universe. Sometimes it's us, Joe Weisenthal and Tracy Alloway, bringing you our thoughts on the most recent developments in markets, finance and the economy. And sometimes it's contributions from our network of expert guests and sources. Whatever it is, we promise it will always be interesting.","July 16, 2025 at 10:16 AM EDT"
https://www.bloomberg.com/opinion/articles/2025-07-15/diplomatic-experience-is-optional-for-the-president-s-friends?srnd=homepage-asia,Diplomatic Experience Is Optional for the President’s Friends - Bloomberg,Trump went for loyalty with ambassadorial nominations in Southeast Asia.,"July 15, 2025 at 4:00 PM EDT"
https://www.bloomberg.com/news/videos/2025-06-12/the-end-of-the-long-bond-era-video?srnd=homepage-asia,Watch The End of the Long Bond Era - Bloomberg,"From the US to Japan, governments are having to pay investors more to get them to lend money by buying bonds. Now countries everywhere are pulling back on issuing longer-term debt.
 (Source: Bloomberg)","June 12th, 2025, 9:42 PM GMT+0000"
https://www.bloomberg.com/news/features/2025-07-15/why-art-deco-jewelry-from-the-1920s-still-sells-for-millions?srnd=homepage-asia,Why Art Deco Jewelry From the 1920s Still Sells for Millions - Bloomberg,It’s been a century since the exposition in Paris gave birth to a movement. Its appeal has never faded.,"July 15, 2025 at 11:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-14/us-immigration-crackdown-raises-concerns-over-child-wellness-checks?srnd=homepage-asia,US Immigration Crackdown Raises Concerns Over Child ‘Wellness Checks’ - Bloomberg,The Trump administration’s $45 billion for detention is raising fresh concerns over law enforcement visits to families.,"July 14, 2025 at 7:00 AM EDT"
https://www.bloomberg.com/news/features/2025-06-12/wall-street-s-blackstone-is-buying-marinas-bigger-yachts-higher-rent?srnd=homepage-asia,"Wall Street’s Blackstone Is Buying Marinas: Bigger Yachts, Higher Rent - Bloomberg",Blackstone and others pledge to improve aging boatyards amid fears that rising slip fees are pricing out the middle class.,"June 12, 2025 at 8:00 AM EDT"
https://www.bloomberg.com/news/videos/2025-07-03/the-lawyer-behind-elon-musk-video?srnd=homepage-asia,"Watch The Lawyer Behind Elon Musk, Jay-Z and Megan Thee Stallion - Bloomberg",Emily Chang meets power lawyer Alex Spiro to discuss how he navigates the high-stakes world of litigation on behalf of famous clients.  (Source: Bloomberg),"July 3rd, 2025, 12:00 PM GMT+0000"
https://www.bloomberg.com/opinion/newsletters/2025-07-16/never-fully-beaten-inflation-is-coming-back-to-life?srnd=homepage-asia,"Never Fully Beaten, Inflation Is Coming Back to Life - Bloomberg",Just in time for a rates showdown between Trump and the Federal Reserve.,"July 16, 2025 at 12:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/aura-minerals-shares-mixed-in-us-debut-after-oversubscribed-deal?srnd=homepage-asia,"Aura Minerals Shares Mixed in US Trading Debut (AUGO, ORA CN) - Bloomberg","Aura Minerals Inc. shares were little changed from the offer price in a US trading debut, after the gold and copper miner raised $196 million in a listing in New York.","July 16, 2025 at 1:15 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/severe-obesity-in-us-children-has-more-than-tripled-since-2008?srnd=homepage-asia,Severe Obesity in US Children Has More Than Tripled Since 2008 - Bloomberg,"The proportion of severely overweight children in the US has skyrocketed in recent years, with the highest rates seen in adolescents and Black children, a new study found.","July 16, 2025 at 11:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/india-s-sbi-seeks-2-91-billion-via-share-sale-terms-show?srnd=homepage-asia,SBI Seeks $2.9 Billion in Biggest Share Sale to Institutions - Bloomberg,"State Bank of India is seeking to raise as much as 250 billion rupees ($2.9 billion) in India’s biggest share sale to institutional investors as the country’s top lender by assets seeks to bolster its capital base, according to terms of the deal seen by Bloomberg News.","July 16, 2025 at 8:21 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/kganyago-sees-south-africa-cpi-staying-in-target-despite-risks?srnd=homepage-asia,Kganyago Sees South Africa CPI Staying in Target Despite Risks - Bloomberg,"South Africa’s central bank Governor Lesetja Kganyago signaled confidence that inflation would remain within its target for the next two years, despite uncertainties stemming from US tariffs.","July 16, 2025 at 12:39 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/new-york-s-coqodaq-has-1-000-person-a-night-waitlist-for-sustainable-chicken?srnd=homepage-asia,"New York's Coqodaq Has 1,000 Person-a-Night Waitlist for Sustainable Chicken - Bloomberg","One of New York’s hottest food venues is luring diners with viral caviar-topped nuggets, and delivering a message on environmentally-friendly eating.","July 16, 2025 at 12:50 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/dutch-government-ditches-not-realistic-offshore-wind-goal?srnd=homepage-asia,Dutch Government Ditches ‘Not Realistic’ Offshore Wind Goal - Bloomberg,The Netherlands will slash its offshore wind ambitions by as much as 40% as the government no longer finds it viable to aim for 50 gigawatts of generation capacity by 2040.,"July 16, 2025 at 12:42 PM EDT"
https://www.bloomberg.com/opinion/articles/2025-07-15/india-and-asean-are-growing-apart-blame-tariffs?srnd=homepage-asia,India and Asean Are Growing Apart. Blame Tariffs - Bloomberg,Officials in New Delhi worry the bloc is drifting toward China.,"July 15, 2025 at 5:00 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/norway-us-have-a-good-tone-in-tariff-talks-stoltenberg-says?srnd=homepage-asia,"Trump Tariffs: Norway, US Have a ‘Good Tone’ in Trade Talks, Stoltenberg Says - Bloomberg","Norway is addressing “some real issues” in its trade talks with the US and still aims to prevent increases in tariffs, according to the country’s finance minister.","July 16, 2025 at 1:26 PM EDT"
https://www.bloomberg.com/news/audio/2025-07-16/bloomberg-surveillance-tariffs-inflation-podcast?srnd=homepage-asia,Bloomberg Surveillance: Tariffs Inflation - Bloomberg,"The economy and the markets are ""under surveillance"" as we cover the latest in finance, economics and investment.",N/A
https://www.bloomberg.com/news/articles/2025-07-15/zambian-small-businesses-get-70-million-boost-to-unlock-growth?srnd=homepage-asia,Zambian Small Businesses Get $70 Million Boost to Aid Growth - Bloomberg,Britain and Sweden’s development-finance arms are partnering with the Zambian National Pension Scheme Authority to launch an investment platform backed by an initial $70 million to provide capital for the southern African nation’s small and medium-sized businesses.,"July 15, 2025 at 5:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/kkr-said-to-mull-acquisition-of-health-care-technology-firm-gpi?srnd=homepage-asia,KKR Mulls Acquisition of Health-Care Technology Firm GPI (GPI IM) - Bloomberg,"KKR &amp; Co., the buyout firm that’s been scouting for takeover targets amid the recent market volatility, is considering a potential acquisition of Italian health-care technology firm GPI SpA, according to people with knowledge of the matter.","July 16, 2025 at 12:43 PM EDT"
https://www.bloomberg.com/news/features/2025-06-17/compass-private-home-listings-roil-zillow-rival-real-estate-brokerages?srnd=homepage-asia,"Compass' Private Home Listings Roil Zillow, Rival Real Estate Brokerages - Bloomberg",No. 1 brokerage Compass is pushing for sellers to market houses exclusively. Rivals and digital giant Zillow are striking back.,"June 17, 2025 at 8:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/tetra-pak-s-secretive-rausing-family-builds-9-billion-in-global-stock-bets?srnd=homepage-asia,Tetra Pak’s Secretive Rausing Family Builds $9 Billion in Global Stock Bets - Bloomberg,A mysterious entity based in the heart of Singapore’s financial district emerged as the biggest shareholder in International Flavors &amp; Fragrances Inc. nine years ago.,"July 15, 2025 at 7:05 PM EDT"
https://www.bloomberg.com/news/features/2025-07-15/for-hot-independent-jewelry-designers-art-deco-is-the-secret-sauce?srnd=homepage-asia,"For Hot Independent Jewelry Designers, Art Deco Is the Secret Sauce - Bloomberg","For a certain category of elite jewelers, returning to the century-old style of art deco has been a proven moneymaker.","July 15, 2025 at 12:00 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/spacex-said-to-plan-starship-program-for-in-orbit-drug-research?srnd=homepage-asia,SpaceX Plans Starship Program for In-Orbit Drug Research - Bloomberg,"SpaceX is working on a program to use its mammoth Starship rocket to develop commercial products in space, potentially opening up a new business line for the world’s most valuable private startup, according to people familiar with the matter.","July 15, 2025 at 10:17 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/forget-doge-elon-musk-is-suddenly-all-in-on-ai?srnd=homepage-asia,Forget DOGE. Elon Musk Is Suddenly All In on AI - Bloomberg,"On this episode of Elon, Inc. , we discuss the new model of his notorious Grok chatbot and reminisce about the Trump administration salad days.","July 15, 2025 at 4:06 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/nigeria-inflation-eases-again-bolstering-case-to-hold-rates?srnd=homepage-asia,"Nigeria Inflation Eases Again, Bolstering Case to Hold Rates - Bloomberg","Nigeria’s annual inflation rate fell for a third straight month in June, bolstering the case for policymakers to again keep borrowing costs unchanged as they wait to see if the trend holds.","July 16, 2025 at 11:08 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-15/how-north-korea-is-giving-russia-an-edge-in-the-war-on-ukraine?srnd=homepage-asia,How North Korea Is Giving Russia an Edge in the War on Ukraine - Bloomberg,"Without the involvement of North Korea, Russia’s war in Ukraine might have taken a different turn. The infusion of weaponry and troops provided by Kim Jong Un’s regime has helped Russia to repel Ukrainian forces from its soil and keep up the relentless bombardment of Ukrainian towns and cities. North Korea has likely received military aid in return, increasing the threat posed by the isolated nation to the US and its allies in East Asia.","July 15, 2025 at 8:08 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/jpmorgan-is-now-worth-more-than-three-largest-rivals-combined?srnd=homepage-asia,JPMorgan (JPM) Is Now Worth More Than Three Largest Rivals Combined - Bloomberg,JPMorgan Chase &amp; Co. keeps putting more distance between itself and key rivals.,"July 16, 2025 at 12:29 PM EDT"
https://www.bloomberg.com/news/newsletters/2025-07-16/the-electric-vehicle-revolution-will-be-bifurcated?srnd=homepage-asia,The Electric Vehicle Revolution Will Be Bifurcated - Bloomberg,"Thanks for reading Hyperdrive, Bloomberg’s newsletter on the future of the auto world.","July 16, 2025 at 3:00 AM EDT"
https://www.bloomberg.com/news/features/2025-06-10/oil-rich-university-of-texas-wants-to-cash-in-on-ai-solar-wind-crypto?srnd=homepage-asia,"Oil-Rich University of Texas Wants to Cash in on AI, Solar, Wind, Crypto - Bloomberg",The system—with an endowment second only to Harvard’s—is diversifying into wind and solar energy at a fraught time for renewables.,"June 10, 2025 at 8:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/japan-s-super-long-bonds-rebound-amid-pre-election-volatility,Japan’s Super-Long Bonds Rebound Amid Pre-Election Volatility - Bloomberg,"Japan’s super-long bonds rose on Wednesday, reversing course after a rout earlier in the week over concern that an election this weekend will result in higher government spending.","July 16, 2025 at 2:36 AM EDT"
https://www.bloomberg.com/news/features/2025-07-14/-shark-tank-companies-are-feeling-the-bite-of-trump-s-tariffs?srnd=homepage-asia,‘Shark Tank’ Companies Are Feeling the Bite of Trump’s Tariffs - Bloomberg,"Despite the wild swings in trade policies, these entrepreneurs say the math on reshoring doesn’t work for them.","July 14, 2025 at 7:00 AM EDT"
https://www.bloomberg.com/news/videos/2025-06-24/the-gambler-s-edge-on-wall-street-video?srnd=homepage-asia,Watch The Gambler's Edge on Wall Street - Bloomberg,Poker. Blackjack. Chess. What role does traditional game theory play in the markets? And how are successful traders using it? (Source: Bloomberg),"June 24th, 2025, 12:00 PM GMT+0000"
https://www.bloomberg.com/news/articles/2025-07-16/tesla-readies-a-six-seat-version-of-the-model-y-suv-for-china?srnd=homepage-asia,Tesla Readies a Six-Seat Version of the Model Y SUV for China - Bloomberg,"Tesla Inc. is preparing to launch a longer, six-seat version of its Model Y sport utility vehicle in China, where the carmaker has been losing ground to domestic manufacturers with fresher lineups.","July 16, 2025 at 10:08 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/new-world-seeks-to-sell-11-skies-airport-mall-to-boost-liquidity?srnd=homepage-asia,New World Seeks to Sell 11 Skies Airport Mall in Hong Kong - Bloomberg,"New World Development Co. is seeking to sell its flagship 11 Skies airport mall in Hong Kong to address liquidity constraints, according to people familiar with the matter.","July 16, 2025 at 5:15 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-14/la-homelessness-drops-for-second-year-as-new-policies-take-hold?srnd=homepage-asia,LA Homelessness Drops for Second Year - Bloomberg,"Los Angeles County’s homeless population fell for a second straight year, suggesting recent state and local policies are beginning to show results in a region that has been beset by homelessness for decades.","July 14, 2025 at 5:56 PM EDT"
https://www.bloomberg.com/news/newsletters/2025-07-16/nextdoor-makes-a-bet-on-local-news-in-unlikely-partnership?srnd=homepage-asia,Nextdoor Makes a Bet on Local News in Unlikely Partnership - Bloomberg,"Welcome to Tech In Depth, our daily newsletter about the business of tech from Bloomberg’s journalists around the world. Today, Riley Griffin reports on a new partnership between local news organizations and neighborhood social platform Nextdoor.","July 16, 2025 at 7:02 AM EDT"
https://www.bloomberg.com/news/videos/2025-06-20/one-last-ride-in-a-nyc-horse-elevator-video?srnd=homepage-asia,Watch One Last Ride in a NYC Horse Elevator - Bloomberg,"In a residential loft building in Chelsea, one of New York City’s original 19th-century horse elevators managed to survive into modernity - until now. (Source: Bloomberg)","June 20th, 2025, 12:00 PM GMT+0000"
https://www.bloomberg.com/news/videos/2023-12-08/an-optimist-s-guide-to-the-planet-trailer?srnd=homepage-asia,Watch An Optimist's Guide to the Planet Trailer - Bloomberg,"An Optimist's Guide to the Planet captures Nikolaj Coster-Waldau’s search for people across the globe who are helping drive humanity toward a brighter, more sustainable future. (Source: Bloomberg)","December 8th, 2023, 4:00 PM GMT+0000"
https://www.bloomberg.com/news/articles/2025-07-12/lawyers-warn-uk-nda-ban-may-reduce-misconduct-settlement-payouts?srnd=homepage-asia,Lawyers Warn UK NDA Ban May Reduce Misconduct Settlement Payouts - Bloomberg,"A landmark ban on the use of non-disclosure agreements in workplace misconduct cases - a longstanding practice of financial firms - may make it harder for victims to win compensation and discourage some from speaking up, lawyers say.","July 12, 2025 at 4:00 AM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/italy-cracks-down-on-sweatshops-feeding-loro-piana-armani-dior?srnd=homepage-asia,"Italy Cracks Down on Sweatshops Feeding Loro Piana, Armani - Bloomberg","For a decade, a Chinese tailor toiled in a three-story building on the outskirts of Milan, working 13 hours a day making high-end garments for brands including Italian cashmere label Loro Piana.","July 16, 2025 at 6:02 AM EDT"
https://www.bloomberg.com/news/newsletters/2025-07-10/what-will-linda-yaccarino-do-now-that-she-resigned-from-elon-musk-s-x?srnd=homepage-asia,What Will Linda Yaccarino Do Now That She Resigned From Elon Musk's X? - Bloomberg,"Analyzing trends in leadership, company culture and the art of career building.","July 10, 2025 at 12:09 PM EDT"
https://www.bloomberg.com/news/articles/2025-07-16/why-uk-inflation-is-so-high-and-what-it-means-for-interest-rates?srnd=homepage-asia,Why UK Inflation Is So High and What It Means for Interest Rates - Bloomberg,"While a post-pandemic burst of inflation has abated across much of the developed world, Britain is still stuck with the highest price growth among big western economies.","July 16, 2025 at 9:56 AM EDT"
https://www.bloomberg.com/company/news-bureaus/?utm_source=bloomberg-menu&utm_medium=bcom,Press contacts | Bloomberg LP,,N/A
